trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.799992}",20,0,-113.9550431180847,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
2,False,"{'a': 0.3, 'e': 0.7999760002399993}",25,0,-204.1078458569187,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
3,False,"{'a': 0.3, 'e': 0.7999520011999842}",20,1,-111.31568833369847,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 1}",1
4,False,"{'a': 0.3, 'e': 0.7999200035999045}",20,0,-59.39412313503003,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
5,False,"{'a': 0.3, 'e': 0.7998800083996366}",20,0,-104.87566234539538,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.3, 'e': 0.7998320167989369}",25,0,-123.59505430165495,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.3, 'e': 0.7997760302373804}",30,0,-111.52589075319466,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.3, 'e': 0.7997120503942898}",20,0,-40.312917080470235,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.3, 'e': 0.7996400791886509}",25,0,-187.41175017606255,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
10,False,"{'a': 0.3, 'e': 0.7995601187790168}",30,0,-176.70517448179388,"{0: 16, 1: 7, 2: 4, 3: 0, 4: 3}",0
11,False,"{'a': 0.3, 'e': 0.7994721715634002}",25,0,-66.58158702381527,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
12,False,"{'a': 0.3, 'e': 0.7993762401791535}",20,0,-92.681023953685,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.3, 'e': 0.7992723275028367}",20,0,-70.66171360593434,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.3, 'e': 0.7991604366500741}",20,0,-42.453056074656615,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.3, 'e': 0.799040570975398}",20,0,-80.11180299076933,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
16,False,"{'a': 0.3, 'e': 0.798912734072082}",20,0,-75.40517637908899,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.3, 'e': 0.7987769297719602}",25,0,-105.8313710192307,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.3, 'e': 0.7986331621452372}",30,0,-145.35105291734624,"{0: 17, 1: 5, 2: 4, 3: 3, 4: 1}",0
19,False,"{'a': 0.3, 'e': 0.7984814355002835}",25,0,-131.71778794073867,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.3, 'e': 0.7983217543834212}",20,0,-149.07414895101473,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
21,False,"{'a': 0.3, 'e': 0.7981541235786965}",20,12,-61.95070119902617,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 1}",1
22,False,"{'a': 0.3, 'e': 0.7979785481076411}",25,0,-66.1555693699191,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.3, 'e': 0.7977950332290213}",20,2,-69.39246058668111,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 1}",1
24,False,"{'a': 0.3, 'e': 0.7976035844385755}",25,0,-184.885220587787,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
25,False,"{'a': 0.3, 'e': 0.7974042074687399}",20,0,-160.3312675898581,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
26,False,"{'a': 0.3, 'e': 0.7971969082883625}",20,0,-109.68959645436216,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
27,False,"{'a': 0.3, 'e': 0.7969816931024054}",20,0,-118.94503578195287,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
28,False,"{'a': 0.3, 'e': 0.7967585683516349}",20,0,-30.157987852087935,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
29,False,"{'a': 0.3, 'e': 0.7965275407123008}",20,0,-113.38274340975795,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
30,False,"{'a': 0.3, 'e': 0.7962886170958026}",25,10,-4.397144304696138,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.3, 'e': 0.7960418046483456}",25,0,-89.9158846315913,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
32,False,"{'a': 0.3, 'e': 0.7957871107505847}",25,0,-137.25250600736655,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
33,False,"{'a': 0.3, 'e': 0.7955245430172562}",25,0,-106.77260154434792,"{0: 13, 1: 7, 2: 3, 3: 1, 4: 1}",0
34,False,"{'a': 0.3, 'e': 0.7952541092967983}",30,0,-58.32497946965884,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
35,False,"{'a': 0.3, 'e': 0.7949758176709606}",20,0,-77.08311172898213,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
36,False,"{'a': 0.3, 'e': 0.7946896764544013}",20,0,-130.55737664620565,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
37,False,"{'a': 0.3, 'e': 0.7943956941942727}",25,0,-193.49600729168804,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
38,False,"{'a': 0.3, 'e': 0.7940938796697966}",25,0,-29.552338337233152,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
39,False,"{'a': 0.3, 'e': 0.7937842418918267}",20,0,-104.84619880743223,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
40,False,"{'a': 0.3, 'e': 0.7934667901024004}",25,13,-32.31958296597583,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
41,False,"{'a': 0.3, 'e': 0.7931415337742791}",25,0,-89.38848217118752,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
42,False,"{'a': 0.3, 'e': 0.7928084826104771}",25,14,-34.60712594326476,"{0: 6, 1: 3, 2: 1, 3: 1, 4: 0}",1
43,False,"{'a': 0.3, 'e': 0.7924676465437791}",25,17,8.243857819643269,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.3, 'e': 0.7921190357362464}",20,0,-73.61138925678146,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",1
45,False,"{'a': 0.3, 'e': 0.7917626605787123}",20,0,-101.8143636127387,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
46,False,"{'a': 0.3, 'e': 0.7913985316902654}",20,0,-22.95422647282077,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
47,False,"{'a': 0.3, 'e': 0.7910266599177229}",25,0,-150.19821646548118,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
48,False,"{'a': 0.3, 'e': 0.7906470563350914}",20,0,-66.3049997776806,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
49,False,"{'a': 0.3, 'e': 0.7902597322430176}",30,5,-42.51994423071907,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",1
50,False,"{'a': 0.3, 'e': 0.7898646991682278}",30,0,-58.00649575812028,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
51,False,"{'a': 0.3, 'e': 0.789461968862956}",20,0,-119.78566958942054,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
52,False,"{'a': 0.3, 'e': 0.7890515533043613}",25,0,-74.28767401576305,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
53,False,"{'a': 0.3, 'e': 0.7886334646939339}",20,4,-100.88177859473797,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 2}",1
54,False,"{'a': 0.3, 'e': 0.7882077154568912}",20,14,12.981308392189282,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.3, 'e': 0.7877743182415616}",25,0,-82.15795369839772,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
56,False,"{'a': 0.3, 'e': 0.7873332859187592}",25,15,8.645230912364983,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.3, 'e': 0.7868846315811457}",20,0,-75.49828356212095,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
58,False,"{'a': 0.3, 'e': 0.7864283685425836}",20,7,-5.617281034692121,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.3, 'e': 0.7859645103374769}",25,0,-108.88839548280076,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 2}",0
60,False,"{'a': 0.3, 'e': 0.7854930707201031}",25,0,-36.9929811308836,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
61,False,"{'a': 0.3, 'e': 0.7850140636639321}",30,13,-24.971193944668904,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 0}",1
62,False,"{'a': 0.3, 'e': 0.7845275033609372}",25,0,-102.26758592383257,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
63,False,"{'a': 0.3, 'e': 0.7840334042208937}",30,16,-90.39637763330563,"{0: 7, 1: 2, 2: 3, 3: 1, 4: 1}",1
64,False,"{'a': 0.3, 'e': 0.783531780870668}",25,0,-169.53565924276467,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
65,False,"{'a': 0.3, 'e': 0.7830226481534954}",25,0,-149.72977165077972,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 3}",0
66,False,"{'a': 0.3, 'e': 0.7825060211282491}",25,0,-10.75727955764239,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
67,False,"{'a': 0.3, 'e': 0.7819819150686969}",25,0,-115.72132244690573,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
68,False,"{'a': 0.3, 'e': 0.7814503454627494}",25,1,-78.59249676154337,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 1}",1
69,False,"{'a': 0.3, 'e': 0.780911328011697}",20,0,-113.20600057555255,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
70,False,"{'a': 0.3, 'e': 0.780364878629437}",30,14,-136.34371948643195,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 3}",1
71,False,"{'a': 0.3, 'e': 0.7798110134416908}",35,4,-129.98059116442917,"{0: 17, 1: 5, 2: 7, 3: 1, 4: 1}",1
72,False,"{'a': 0.3, 'e': 0.7792497487852105}",25,0,-140.88802095814407,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
73,False,"{'a': 0.3, 'e': 0.7786811012069761}",20,0,-100.10504960520439,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
74,False,"{'a': 0.3, 'e': 0.7781050874633828}",20,0,-107.60185333484431,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
75,False,"{'a': 0.3, 'e': 0.7775217245194176}",35,0,-206.0271310210833,"{0: 23, 1: 4, 2: 2, 3: 2, 4: 4}",0
76,False,"{'a': 0.3, 'e': 0.7769310295478272}",25,0,-132.67686730103537,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
77,False,"{'a': 0.3, 'e': 0.7763330199282753}",20,0,-50.33738953080819,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
78,False,"{'a': 0.3, 'e': 0.7757277132464907}",25,0,-106.95936146198744,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
79,False,"{'a': 0.3, 'e': 0.775115127293405}",20,0,-44.62000145732133,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
80,False,"{'a': 0.3, 'e': 0.7744952800642821}",20,0,-18.369726199035593,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
81,False,"{'a': 0.3, 'e': 0.7738681897578366}",25,0,-37.00996772510116,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
