trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.5}",35,0,-141.71545914795718,"{0: 20, 1: 6, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.0}",25,0,-65.12576296050118,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': -0.5}",20,0,-124.06220080021268,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': -1.0}",35,0,-276.67535631841577,"{0: 16, 1: 6, 2: 6, 3: 4, 4: 3}",0
5,False,"{'a': 0.5, 'e': -1.5}",25,0,-163.20197355059074,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': -2.0}",25,0,-123.68352891867266,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': -2.5}",20,0,-57.23416910553551,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': -3.0}",30,0,-95.66508799590162,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': -3.5}",20,0,-90.89616377546866,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': -4.0}",20,0,-97.84005624004573,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': -4.5}",30,0,-159.29331143699488,"{0: 16, 1: 1, 2: 11, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': -5.0}",25,0,-255.88560955465482,"{0: 10, 1: 2, 2: 8, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': -5.5}",25,5,-49.26721092931002,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': -6.0}",25,0,-120.09217309128455,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': -6.5}",25,0,-224.4917386502549,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': -7.0}",25,0,-101.06240391264292,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': -7.5}",20,0,-73.59491207829288,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': -8.0}",20,11,-73.67882209877361,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': -8.5}",20,0,-43.113394963990295,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -9.0}",20,0,-85.51288819368165,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-161.75734855727188,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-72.13475752910831,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-42.26929992714464,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-124.23823836493011,"{0: 10, 1: 6, 2: 2, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,1,-95.23492527724514,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,0,-119.44482230543079,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",30,0,-171.3700698449646,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",30,0,-273.51684662512247,"{0: 13, 1: 6, 2: 6, 3: 0, 4: 5}",0
9,True,"{'a': 0, 'e': 0}",20,0,-124.01710461292123,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",30,0,-185.0520713303423,"{0: 11, 1: 8, 2: 8, 3: 2, 4: 1}",0
